APP TYPE,READ_CONTACTS,WRITE_CONTACTS,READ_CALENDAR,WRITE_CALENDER,READ_USERE_DICTIONARY,WRITE_USER_DICTIONARY,READ_HISTORY_BOOKMARKS,WRITE_HISTORY_BOOKMARKS,SER_ALARM,DUMP,READ_LOGS,BIND_APPWIDGET,SET?DEBUG_APP,SET_PROSESS_LIMIT,SET_ALWAYS_FINISH,SIGNAL_PERSISTENT_PROSESSES,SEND_SMS,CALL_PHONE,RECEIVE_SMS,RECEIVE_MMS,READ_SMS,WRITE_SMS,RECEIVE_WAP_PUSH,BROADCAST_SMS,BROADCAST_WAP_PUSH,ACCESS_FINE_LOCATION,ACCESS_COARSE_LOCATION,ACCESS_MOCK_LOCATTION,ACCESS_LOCATION_EXTRA_COMMANDS,INERNET,ACCESS_NETWORK_STATE,ACCESS_WIFI_STATE,BLUETOOTH,NFC,USE_SIP,ACCOUNT_MANAGER,GET_ACCOUNT,USE_CREDENTIALS,MANAGE_ACCOUNTS,WRITE_EXTERNAL_STORAGE,MODIFY_AUDIO_SETTINGS,RECORD_AUDIO,CAMERA,VIBRATE,FLASHLIGHT,MANAGEE_USB,HARDWARE_TEST,PROCESS_OUTGOING_CALLS,MODIFY_PHONE_STATE,READ_PHONE_STATE,WRITE_SETTINGS,EXPAND_STATUS_BAR,GET_TASKS,REORDER_TASKS,CHANGE_CONFIGURATION,REESTART_PACKAGES,KILL_BACKGROUND_PROCESSES,FORCE_STOP_PACKAGES,SYSTEM_ALERT_WINDOW,SET_ANIMATION_SCALE,PERSISTTENT_AACTIVITY,GEET_PACKAGE_SIZE,SET_PREFERRED_APPLICATIONS,RECEIVE_BOOT_COMPLETED,BROADCAST_STICKY,WAKE_LOCK,SET_WALLPAPER,SEET_WALLPAPER_HINTS,SET_TIME_ZONE,MOUNT_UNMOUNT_FILESYSTEM,MOUNT_FORMAT_FILESYSYTEM,ASEC_ACCESS,ASEC_CREATE,ASEC_DESTROY,ASEC_MOUNT_UNMOUNT,ASEC_RENAME,DISABLE_KEYGUARD,READ_SYNC_SEETTINGS,WRITE_SYNC_SETTINGS,WRITE_SYNC_SETTINGS,READ_SYNC_STATS,WRITE_APN_SETTINGS,SUBSCRIBED_FEEDS_WRITE,CHANGE_NETWORK_STATE,CHANGE_WIMAX_STATE,CHANGE_WIFI_MULTICAST_STATE,BLUETOOTH_ADMIN,CLEAR_APP_CACHE,DIAGNOSTIC,BROADCAST_PACKAGE_REMOVED,CHANGE_BACKGROUND_DAATA_SETTING,GLOBAL_SEARCH,GLOBAL_SEEARCH_CONTROL,SET_WALLPAPER_COMPONENT,INSTALL_LOCATION_PROVIDER,WRITE_SECURE_SETTINGS,WRITE_GSEERVICES,SET_TIME,STATUS_BAR,STATUS_BAR_SERVICE,FORCE_BACK,UPDATE_DEVICE_STATS,INTERNAL_SYSTEM_WINDOW,MANAGE_APP_TOKENS,INJECT_EVENTS,SET_ACTIVITY_WATCHER,SHUTDOWN,STOP_APP_SWITCHES,READ_INPUT_STATE,BIND_INPUT_METHOD,BIND_WALLPAPER,BIND_DEVICE_ADMIN,SET_ORIENTATION,INSTALL_PACKAGES,CLEAR_APP_USER_DATA,DELETE_CACHE_FILES,DELETE_PACKAGES,MOVE_PACKAGE,CHANGE_COMPONENT_ENABLED_STATE,ACCEESS_SURFACE_FLINGER,READ_FRAME_BUFFER,BRICK,REBOOT,DEVICE_POWRE,FACTORY_TEST,MASTERE_CLEEAR,CALL_PRIVILEGED,PERFORM_CDMA_PROVISIONING,CONTROL_LOCATION_UPDATES,ACCESS_CHECKIN_PROPERTIES,PACKAGE_USAGE_STATS,BATTERY_STATS,BACKUP,ACCESS_CACHE_FILESYSTEM,COPY_PROTECTED_DATA,C2D_MESSAGE,ADD_SYSTM_SERVICE,ADD_VOICEMALE,BIND_REMOTEVIEWS,BIND_TEXT_SERVICE,BIND_VPN_SERVICE,FOTA_UPDATE,READ_OWNER_DATA,READ_PROFILE,READ_SOCIAL_SYSTEEM,SET_PROCESS_FOREGROUND,WRITE_OWNER_DATA,WRITE_SOCIAL_STREAM
CAMERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOME,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
